Número do Alimento;Descrição dos alimentos;Tipo dos alimentos;Umidade %;Energia kcal;Energia kj;Proteína g;Lipídeos g;Colesterol g;Carboidrato g;Fibra g;Cinzas g;Cálcio g;Magnésio g;Número do alimento;Manganês mg;Fósforo mg;Ferro mg;Sódio mg;Potássio mg;Cobre mg;Zinco mg;Retinol mcg;RE mcg;RAE mcg;Tiamina mg;Riboflavina mg;Piridoxina mg;Niacina mg;Vitamina C mg
486;Clara;Ovos e derivados;85.2;59;249;13.4;0.1;NA;0.0;NA;0.7;6;11;486;Tr;15;0.1;181;146;0.03;Tr;NA;;;Tr;0.08;Tr;Tr; 
487;Gema;Ovos e derivados;50.0;353;1476;15.9;30.8;1272;1.6;NA;1.7;114;9;487;0.06;386;2.9;45;87;Tr;2.9;148;;;0.18;0.22;Tr;Tr; 
488;Ovo de galinha;Ovos e derivados;75.8;146;610;13.3;9.5;397;0.6;NA;0.8;49;11;488;0.02;184;1.5;146;139;0.04;1.2;32;;;0.08;0.30;Tr;Tr; 
492;Açúcar cristal;Produtos açucarados;0.1;387;1619;0.3;Tr;NA;99.6;NA;Tr;8;1;492; ;Tr;0.2;Tr;3; Tr;Tr;NA;;;;;;;
493;Açúcar mascavo;Produtos açucarados;3.3;369;1542;0.8;0.1;NA;94.5;NA;1.4;127;80;493;2.03;38;8.3;25;522;0.17;0.5;NA;;;Tr;0.03;Tr;Tr;Tr
495;Chocolate ao leite;Produtos açucarados;1.3;540;2258;7.2;30.3;17;59.6;2.2;1.7;191;57;495;0.30;212;1.6;77;355;0.31;1.1;Tr; ; ;0.05;0.22;0.59;0.63;Tr
498;Chocolate meio amargo;Produtos açucarados;1.0;475;1987;4.9;29.9;2;62.4;4.9;1.8;45;107;498;0.83;220;3.6;9;432;0.77;1.5;Tr;;;0.20;0.04;Tr;1.06;2.1
501;Doce de leite;Produtos açucarados;27.5;306;1282;5.5;6.0;20;59.5;NA;1.5;195;16;501;0.01;141;0.1;120;259;0.02;0.5;36;36;36;0.05;0.26;Tr;Tr;Tr
502;Geléia mocotó;Produtos açucarados;73.5;106;444;2.1;0.1;Tr;24.2;NA;0.1;4;1;502;Tr;Tr;0.1;43;2;Tr;Tr;Tr; ; ;0.19;Tr;0.22;Tr;Tr
507;Mel de abelha;Produtos açucarados;15.8;309;1294;0.0;0.0;NA;84.0;NA;0.1;10;6;507;0.38;4;0.3;6;99;Tr;0.2;NA;;;0.11;Tr;Tr;Tr;0.7
510;Rapadura;Produtos açucarados;7.1;352;1473;1.0;0.1;NA;90.8;NA;1.1;30;47;510;1.66;21;4.4;22;459;0.17;0.6;NA;;;Tr;Tr;0.04;Tr;Tr
515;Gelatina, sabores variados, pó;Outros alimentos industrializados;1.2;380;1591;8.9;Tr;NA;89.2;NA;0.6;27;2;515;0.03;2;0.3;235;7;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;40.0
522;Chantilly;Outros alimentos industrializados;55.1;315;1318;0.5;27.3;Tr;16.9;NA;0.2;2;1;522;Tr;16;
524;Maionese tradicional com ovos;Outros alimentos industrializados;58.4;302;1264;0.6;30.5;42;7.9;NA;2.6;3;1;524;Tr;14;0.1;787;Tr;110;5;0.01;0.1;Tr; ; ;0.07;Tr;Tr;Tr;
525;Acarajé;Alimentos preparados;50.5;289;1210;8.3;19.9;25;19.1;9.4;2.1;124;51;525;0.59;142;1.9;305;354;0.23;1.2;Tr;;;0.06;Tr;Tr;Tr; 
527;Baião de dois;Alimentos preparados;69.1;136;568;6.2;3.2;4;20.4;5.1;1.1;33;19;527;0.27;72;0.6;93;157;0.08;0.6;Tr;;;0.04;Tr;0.04;Tr;Tr
529;Bife à cavalo com contra filé;Alimentos preparados;54.2;291;1219;23.7;21.1;257;0.0;NA;1.1;26;19;529;0.02;216;2.1;83;272;0.06;3.2;37;;;0.05;0.10;Tr;2.92;
537;Estrogonofe de carne;Alimentos preparados;70.1;173;724;15.0;10.8;66;3.0;;1.1;28;22;537;0.03;186;2.7;123;322;0.14;2.0;28;;;0.06;0.05;Tr;3.25;Tr
538;Estrogonofe de frango;Alimentos preparados;70.9;157;656;17.6;8.0;80;2.6;;1.0;26;25;538;0.03;195;1.5;99;307;0.12;0.6;28;;;0.07;0.04;0.03;3.37;Tr
540;Feijoada;Alimentos preparados;71.8;117;489;8.7;6.5;22;11.6;5.1;1.4;32;32;540;0.24;105;1.3;278;303;0.15;0.8;Tr; ; ;0.08;0.03;Tr;0.93;Tr
542;Macarrão a molho bolognesa;Alimentos preparados;71.4;120;500;4.9;0.9;7;22.5;0.8;0.2;11;10;542;0.22;54;1.4;9;84;0.09;0.8;Tr;;;0.04;Tr;Tr;1.44;Tr
551;Tapioca;Alimentos preparados;24.9;348;1455;0.1;10.9;31;63.6;Tr;0.5;30;3;551;0.06;8;0.2;158;19;0.01;0.0;75;;;Tr;Tr;Tr;Tr;Tr
556;Yakisoba;Alimentos preparados;69.4;113;472;7.5;2.6;NA;18.3;1.1;2.2;14;13;556;0.15;83;0.6;794;159;0.06;0.7;NA;62;31;0.16;Tr;Tr;2.09;Tr
557;Amendoim;Leguminosas e derivados;6.4;544;2276;27.2;43.9;NA;20.3;8.0;2.2;Tr;171;557;1.96;407;2.5;Tr;580;0.78;3.2;NA;;;0.10;0.03;0.76;10.18;Tr
558;Amendoim torrado, salgado;Leguminosas e derivados;1.7;606;2535;22.5;54.0;NA;18.7;7.8;3.2;39;159;558;1.70;261;1.3;376;496;0.68;2.1;NA;;;0.08;Tr;0.21;7.47;Tr
561;Feijão carioca;Leguminosas e derivados;80.4;76;320;4.8;0.5;NA;13.6;8.5;0.7;27;42;561;0.28;87;1.3;2;255;0.19;0.7;NA;;;0.04;Tr;Tr;Tr;Tr
563;Feijão fradinho;Leguminosas e derivados;80.0;78;326;5.1;0.6;NA;13.5;7.5;0.8;17;38;563;0.53;85;1.1;1;253;0.10;1.1;NA;;;0.12;Tr;Tr;Tr;Tr
565;Feijão jalo;Leguminosas e derivados;75.8;93;388;6.1;0.5;NA;16.5;13.9;1.0;29;44;565;0.32;121;1.9;1;348;0.24;1.0;NA;;;0.13;Tr;0.04;Tr;Tr
567;Feijão preto;Leguminosas e derivados;80.2;77;322;4.5;0.5;NA;14.0;8.4;0.8;29;40;567;0.37;88;1.5;2;256;0.20;0.7;NA;;;0.06;Tr;0.03;Tr;Tr
575;Grão-de-bico;Leguminosas e derivados;12.3;355;1484;21.2;5.4;NA;57.9;12.4;3.2;114;146;575;3.16;342;5.4;5;1116;0.67;3.2;NA;;;0.52;Tr;0.75;Tr;Tr
576;Guandu;Leguminosas e derivados;11.4;344;1440;19.0;2.1;NA;64.0;21.3;3.5;129;166;576;1.02;269;1.9;2;1215;0.57;2.0;NA;;;1.06;Tr;0.07;2.69;1.5
577;Lentilha cozida;Leguminosas e derivados;76.3;93;388;6.3;0.5;NA;16.3;7.9;0.6;16;22;577;0.29;104;1.5;1;220;0.17;1.1;NA;;;0.03;Tr;Tr;Tr;Tr
578;Lentilha crua;Leguminosas e derivados;11.5;339;1419;23.2;0.8;NA;62.0;16.9;2.6;54;94;578;1.08;368;7.0;Tr;887;0.83;3.5;NA; ; ;0.11;Tr;0.42;5.07; 
582;Soja;Leguminosas e derivados;91.3;39;164;2.4;1.6;NA;4.3;0.4;0.5;17;15;582;0.15;53;0.4;57;121;0.08;0.3;NA;;;Tr;Tr;Tr;Tr;Tr
579;Paçoca;Leguminosas e derivados;1.8;487;2037;16.0;26.1;NA;52.4;7.3;3.8;22;101;579;1.06;198;1.1;167;348;0.38;1.6;NA;;;Tr;Tr;1.20;Tr;Tr
580;Pé-de-moleque;Leguminosas e derivados;2.9;503;2105;13.2;28.0;NA;54.7;3.4;1.1;27;108;580;1.09;171;1.3;16;355;0.43;1.4;NA;;;0.04;0.03;0.11;5.94;Tr
587;Amêndoa;Nozes e sementes;3.1;581;2430;18.6;47.3;NA;29.5;11.6;1.5;237;222;587;1.95;493;3.1;279;640;0.93;2.6;NA;;;0.29;0.16;Tr;Tr;Tr
588;Castanha-de-caju;Nozes e sementes;3.5;570;2386;18.5;46.3;NA;29.1;3.7;2.6;33;237;588;1.59;594;5.2;125;671;1.92;4.7;NA;;;0.29;0.05;0.39;Tr;Tr
589;Castanha-do-Brasil;Nozes e sementes;3.5;643;2690;14.5;63.5;NA;15.1;7.9;3.4;146;365;589;1.10;853;2.3;1;651;1.79;4.2;NA;;;0.30;Tr;0.44;Tr;Tr
590;Coco;Nozes e sementes;43.0;406;1701;3.7;42.0;NA;10.4;5.4;1.0;6;51;590;1.00;118;1.8;15;354;0.45;0.9;NA;;;Tr;Tr;0.03;Tr;2.5
593;Gergelim;Nozes e sementes;3.9;584;2442;21.2;50.4;NA;21.6;11.9;2.9;825;361;593;2.67;741;5.4;3;546;1.51;5.2;NA;;;0.94;Tr;0.13;5.92;Tr
594;Linhaça;Nozes e sementes;6.7;495;2072;14.1;32.3;NA;43.3;33.5;3.7;211;347;594;2.81;615;4.7;9;869;1.09;4.4;NA;;;0.12;Tr;0.13;Tr;Tr
597;Noz;Nozes e sementes;6.2;620;2594;14.0;59.4;NA;18.4;7.2;2.1;105;153;597;4.05;396;2.0;5;533;0.75;2.1;NA;;;0.38;Tr;0.13;1.08;Tr
595;Pinhão;Nozes e sementes;50.5;174;730;3.0;0.7;NA;43.9;15.6;1.8;16;53;595;0.41;166;0.8;1;727;0.18;0.8;NA;;;Tr;Tr;Tr;Tr;27.7
596;Pupunha;Nozes e sementes;54.5;219;914;2.5;12.8;NA;29.6;4.3;0.7;28;25;596;0.13;49;0.5;1;303;0.28;0.3;NA;875;438;Tr;0.09;0.03;Tr;2.2
592;Farinha de mesocarpo de babaçu;Nozes e sementes;15.8;329;1376;1.4;0.2;NA;79.2;17.9;3.4;61;39;592;0.38;26;18.3;12;362;0.22;0.3;NA;;;Tr;Tr;Tr;2.58;Tr
